City	Shape	State	lat	long
Wylie	Unknown	TX	33.023	-96.5149
Wimberley	Unknown	TX	29.9801	-98.0939
Wills Point	Unknown	TX	32.7076	-96.0088
Willis	Unknown	TX	30.4245	-95.4799
Wichita Falls	Unknown	TX	33.9083	-98.501
Whitney	Unknown	TX	31.9519	-97.3218
West Tawakoni	Unknown	TX	32.9035	-96.0367
Weatherford	Unknown	TX	32.759	-97.801
Watauga	Unknown	TX	32.8746	-97.255
Vidor	Unknown	TX	30.1245	-94.0127
Victoria	Unknown	TX	28.8059	-97.0036
Van Alstyne	Unknown	TX	33.4218	-96.5768
Uvalde	Unknown	TX	29.2073	-99.7938
Tyler	Unknown	TX	32.3476	-95.2943
Tuscola	Unknown	TX	32.2096	-99.7971
Troy	Unknown	TX	31.2068	-97.3022
Tomball	Unknown	TX	30.0958	-95.6171
The Woodlands	Unknown	TX	30.1575	-95.4558
The Colony	Unknown	TX	33.0979	-96.8925
Texas City	Unknown	TX	29.3928	-94.9251
Texarkana	Unknown	TX	33.4256	-94.0482
Terrell	Unknown	TX	32.7378	-96.2749
Sunrise Beach Village	Unknown	TX	30.5943	-98.4254
Stephenville	Unknown	TX	32.2203	-98.202
Stafford	Unknown	TX	29.6148	-95.5571
Spring Branch	Unknown	TX	29.9205	-98.4107
Spring	Unknown	TX	30.0845	-95.4193
Splendora	Unknown	TX	30.2331	-95.1628
Spearman	Unknown	TX	36.1982	-101.191
Southlake	Unknown	TX	32.9426	-97.1312
South Padre Island	Unknown	TX	26.1185	-97.1699
Sonora	Unknown	TX	30.5671	-100.6439
Smithville	Unknown	TX	30.0087	-97.16
Sidney	Unknown	TX	31.9557	-98.7366
Sherman	Unknown	TX	33.636	-96.6091
Shady Shores	Unknown	TX	33.1655	-97.0306
Seguin	Unknown	TX	29.5695	-97.9647
Seabrook	Unknown	TX	29.564	-95.0245
Schulenburg	Unknown	TX	29.6821	-96.9038
Santa Fe	Unknown	TX	29.3704	-95.0826
San Marcos	Unknown	TX	29.8861	-97.9282
San Juan	Unknown	TX	26.1877	-98.147
San Diego	Unknown	TX	27.7643	-98.2394
San Antonio	Unknown	TX	29.4246	-98.4946
San Angelo	Unknown	TX	31.4615	-100.4424
Rowlett	Unknown	TX	32.901	-96.5696
Round Rock	Unknown	TX	30.509	-97.6772
Rocksprings	Unknown	TX	30.0157	-100.21
Roanoke	Unknown	TX	32.9982	-97.2295
River Oaks	Unknown	TX	32.7786	-97.3933
Richmond	Unknown	TX	29.5827	-95.7622
Richardson	Unknown	TX	32.9607	-96.733
Rhome	Unknown	TX	33.0551	-97.4727
Post	Unknown	TX	33.1909	-101.3776
Port Neches	Unknown	TX	29.9914	-93.9586
Pleasanton	Unknown	TX	28.9674	-98.4788
Plano	Unknown	TX	33.0208	-96.6992
Pittsburg	Unknown	TX	32.9956	-94.9671
Pasadena	Unknown	TX	29.6908	-95.1957
Paris	Unknown	TX	33.6613	-95.5636
Panhandle	Unknown	TX	35.3531	-101.3818
Palestine	Unknown	TX	31.7617	-95.632
Paint Rock	Unknown	TX	31.5085	-99.92
Odessa	Unknown	TX	31.8492	-102.3752
New Braunfels	Unknown	TX	29.6989	-98.1209
New Boston	Unknown	TX	33.4603	-94.4171
Nevada	Unknown	TX	33.0384	-96.375
Nacogdoches	Unknown	TX	31.6036	-94.6556
Muenster	Unknown	TX	33.652	-97.3763
Montgomery	Unknown	TX	30.3886	-95.6963
Monahans	Unknown	TX	31.5953	-102.8933
Mineola	Unknown	TX	32.664	-95.4879
Midland	Unknown	TX	32	-102.0745
Mesquite	Unknown	TX	32.7834	-96.6021
Megargel	Unknown	TX	33.4504	-98.9272
McKinney	Unknown	TX	33.199	-96.615
Maypearl	Unknown	TX	32.3138	-97.0114
Mansfield	Unknown	TX	32.5651	-97.1419
Manor	Unknown	TX	30.3408	-97.5561
Lumberton	Unknown	TX	30.2674	-94.1999
Lubbock	Unknown	TX	33.5845	-101.845
Longview	Unknown	TX	32.5006	-94.7406
Lindsay	Unknown	TX	33.6403	-97.2254
Liberty Hill	Unknown	TX	30.664	-97.922
Lexington	Unknown	TX	30.4162	-97.01
Lewisville	Unknown	TX	33.0472	-96.9959
Levelland	Unknown	TX	33.5873	-102.3786
Leander	Unknown	TX	30.5791	-97.853
League City	Unknown	TX	29.5025	-95.0946
Laredo	Unknown	TX	27.5309	-99.5022
Lakeway	Unknown	TX	30.3627	-97.98
Lake Worth	Unknown	TX	32.8113	-97.4362
Lake Jackson	Unknown	TX	29.0344	-95.4463
Krum	Unknown	TX	33.2614	-97.2378
Killeen	Unknown	TX	31.1169	-97.7274
Kerrville	Unknown	TX	30.0516	-99.1453
Kermit	Unknown	TX	31.8478	-103.0852
Kemah	Unknown	TX	29.5431	-95.0183
Keller	Unknown	TX	32.9309	-97.2265
Katy	Unknown	TX	29.7877	-95.8233
Junction	Unknown	TX	30.4893	-99.7714
Joshua	Unknown	TX	32.4629	-97.3885
Jasper	Unknown	TX	30.9216	-93.9969
Irving	Unknown	TX	32.8135	-96.9555
Iola	Unknown	TX	30.7724	-96.0741
Ingleside	Unknown	TX	27.8812	-97.2089
Humble	Unknown	TX	30.0002	-95.2686
Houston	Unknown	TX	29.7606	-95.3697
Holland	Unknown	TX	30.8791	-97.4014
Hockley	Unknown	TX	30.0264	-95.846
High Island	Unknown	TX	29.562	-94.3946
Hewitt	Unknown	TX	31.465	-97.1975
Henderson	Unknown	TX	32.1533	-94.7993
Haltom City	Unknown	TX	32.8096	-97.2746
Gunter	Unknown	TX	33.4469	-96.7434
Gun Barrel City	Unknown	TX	32.3309	-96.1467
Groveton	Unknown	TX	31.0556	-95.1273
Grand Prairie	Unknown	TX	32.7477	-97.0072
Gorman	Unknown	TX	32.2169	-98.6672
Goldthwaite	Unknown	TX	31.4509	-98.568
Gladewater	Unknown	TX	32.5363	-94.9429
Gatesville	Unknown	TX	31.4349	-97.7437
Garland	Unknown	TX	32.9143	-96.6365
Garden Ridge	Unknown	TX	29.6509	-98.3015
Fulton	Unknown	TX	28.0626	-97.0412
Frisco	Unknown	TX	33.1506	-96.8335
Friendswood	Unknown	TX	29.53	-95.2002
Freer	Unknown	TX	27.8827	-98.6177
Fred	Unknown	TX	30.5812	-94.1761
Fowlerton	Unknown	TX	28.473	-98.8047
Fort Worth	Unknown	TX	32.751	-97.3309
Fort Hood	Unknown	TX	31.1227	-97.7984
Fort Davis	Unknown	TX	30.5885	-103.8947
Floresville	Unknown	TX	29.133	-98.1566
Euless	Unknown	TX	32.8397	-97.0915
El Paso	Unknown	TX	31.7592	-106.4875
Edroy	Unknown	TX	27.9736	-97.6763
Edna	Unknown	TX	28.9781	-96.6462
Edinburg	Unknown	TX	26.3012	-98.1608
Eastland	Unknown	TX	32.4014	-98.8181
Eagle Pass	Unknown	TX	28.7092	-100.4996
DFW Airport	Unknown	TX	32.8749	-97.0433
Denton	Unknown	TX	33.2166	-97.1316
Dell City	Unknown	TX	31.9381	-105.2012
Del Valle	Unknown	TX	30.2144	-97.6578
Dayton	Unknown	TX	30.0448	-94.8885
Dallas	Unknown	TX	32.7782	-96.7954
D'Hanis	Unknown	TX	29.332	-99.2749
Cypress	Unknown	TX	29.9758	-95.6779
Cumby	Unknown	TX	33.1375	-95.84
Cross Roads	Unknown	TX	33.2308	-97.003
Crosby	Unknown	TX	29.9066	-95.065
Crockett	Unknown	TX	31.3177	-95.4572
Crandall	Unknown	TX	32.6276	-96.451
Cotulla	Unknown	TX	28.4386	-99.2415
Corpus Christi	Unknown	TX	27.7964	-97.4037
Copperas Cove	Unknown	TX	31.1242	-97.9036
Coppell	Unknown	TX	32.9765	-96.9913
Conroe	Unknown	TX	30.3122	-95.4559
Comanche	Unknown	TX	31.8974	-98.6033
Columbus	Unknown	TX	29.7064	-96.5463
Colmesneil	Unknown	TX	30.9063	-94.4213
College Station	Unknown	TX	30.6205	-96.3259
Coleman	Unknown	TX	31.8272	-99.4268
Cleburne	Unknown	TX	32.3504	-97.3876
Claude	Unknown	TX	35.1097	-101.3594
Cibolo	Unknown	TX	29.5585	-98.2251
Channelview	Unknown	TX	29.7776	-95.1125
Cedar Park	Unknown	TX	30.5066	-97.8219
Cedar Creek	Unknown	TX	30.0863	-97.5006
Carthage	Unknown	TX	32.166	-94.3418
Carrollton	Unknown	TX	32.9756	-96.8902
Canyon	Unknown	TX	34.9856	-101.9363
Canadian	Unknown	TX	35.9146	-100.3844
Caddo Mills	Unknown	TX	33.0656	-96.2269
Burleson	Unknown	TX	32.5631	-97.3217
Bryan	Unknown	TX	30.671	-96.3704
Brownwood	Unknown	TX	31.7253	-98.9807
Brookston	Unknown	TX	33.6236	-95.6996
Broaddus	Unknown	TX	31.3068	-94.2692
Brenham	Unknown	TX	30.166	-96.4
Brazoria	Unknown	TX	29.0497	-95.562
Brady	Unknown	TX	31.1348	-99.3365
Boyd	Unknown	TX	33.0786	-97.5608
Bovina	Unknown	TX	34.5136	-102.8835
Bonham	Unknown	TX	33.5785	-96.178
Boerne	Unknown	TX	29.7896	-98.7293
Big Bend National Park	Unknown	TX	29.3282	-103.2061
Belton	Unknown	TX	31.0571	-97.4635
Beeville	Unknown	TX	28.402	-97.7494
Bedford	Unknown	TX	32.8405	-97.1419
Beaumont	Unknown	TX	30.0862	-94.1014
Baytown	Unknown	TX	29.7286	-94.9966
Bay City	Unknown	TX	28.983	-95.9694
Batesville	Unknown	TX	28.9609	-99.6216
Bastrop	Unknown	TX	30.1105	-97.3194
Bangs	Unknown	TX	31.7168	-99.1319
Ballinger	Unknown	TX	31.7396	-99.9471
Azle	Unknown	TX	32.8835	-97.5371
Austin	Unknown	TX	30.2676	-97.743
Athens	Unknown	TX	32.2043	-95.8555
Atascocita	Unknown	TX	29.9985	-95.1777
Arlington	Unknown	TX	32.7356	-97.1077
Andrews	Unknown	TX	32.319	-102.5467
Amarillo	Unknown	TX	35.2073	-101.8339
Alvin	Unknown	TX	29.4238	-95.2454
Allen	Unknown	TX	33.1011	-96.6745
Adkins	Unknown	TX	29.385	-98.2394
Addison	Unknown	TX	32.954	-96.8177
Abilene	Unknown	TX	32.4492	-99.7414
Wylie	Triangle	TX	33.023	-96.5149
Woodville	Triangle	TX	30.7753	-94.4143
Winnie	Triangle	TX	29.8204	-94.3847
Wimberley	Triangle	TX	29.9801	-98.0939
Wichita Falls	Triangle	TX	33.9083	-98.501
Whitney	Triangle	TX	31.9519	-97.3218
Whitehouse	Triangle	TX	32.2263	-95.2261
Webster	Triangle	TX	29.5334	-95.1191
Waxahachie	Triangle	TX	32.3861	-96.8484
Waco	Triangle	TX	31.5718	-97.1495
Victoria	Triangle	TX	28.8059	-97.0036
Van Alstyne	Triangle	TX	33.4218	-96.5768
Tyler	Triangle	TX	32.3476	-95.2943
Tomball	Triangle	TX	30.0958	-95.6171
Tilden	Triangle	TX	28.4613	-98.5491
The Woodlands	Triangle	TX	30.1575	-95.4558
The Colony	Triangle	TX	33.0979	-96.8925
Texarkana	Triangle	TX	33.4256	-94.0482
Terrell	Triangle	TX	32.7378	-96.2749
Temple	Triangle	TX	31.0975	-97.343
Sullivan City	Triangle	TX	26.2777	-98.5648
Sugar Land	Triangle	TX	29.633	-95.5995
Stratford	Triangle	TX	36.3318	-102.0731
Stanton	Triangle	TX	32.129	-101.7899
St. Hedwig	Triangle	TX	29.4145	-98.2022
Spur	Triangle	TX	33.4759	-100.8557
Springtown	Triangle	TX	32.9666	-97.6834
Spring	Triangle	TX	30.0845	-95.4193
Smithville	Triangle	TX	30.0087	-97.16
Sidney	Triangle	TX	31.9557	-98.7366
Shepherd	Triangle	TX	30.4975	-94.9961
Seguin	Triangle	TX	29.5695	-97.9647
Seagoville	Triangle	TX	32.6488	-96.5412
San Marcos	Triangle	TX	29.8861	-97.9282
San Juan	Triangle	TX	26.1877	-98.147
San Benito	Triangle	TX	26.1323	-97.6314
San Antonio	Triangle	TX	29.4246	-98.4946
San Angelo	Triangle	TX	31.4615	-100.4424
Round Rock	Triangle	TX	30.509	-97.6772
Rockdale	Triangle	TX	30.6554	-97.0019
Richmond	Triangle	TX	29.5827	-95.7622
Richland Hills	Triangle	TX	32.8082	-97.2375
Richardson	Triangle	TX	32.9607	-96.733
Reno	Triangle	TX	33.6633	-95.4615
Red Oak	Triangle	TX	32.5164	-96.8009
Pyote	Triangle	TX	31.5347	-103.1269
Poth	Triangle	TX	29.0705	-98.0815
Porter	Triangle	TX	30.1041	-95.2348
Port Aransas	Triangle	TX	27.836	-97.0682
Plano	Triangle	TX	33.0208	-96.6992
Plainview	Triangle	TX	34.1977	-101.6981
Pearsall	Triangle	TX	28.892	-99.0946
Paris	Triangle	TX	33.6613	-95.5636
Pampa	Triangle	TX	35.5319	-100.9588
Palestine	Triangle	TX	31.7617	-95.632
Orange	Triangle	TX	30.0931	-93.7367
Odessa	Triangle	TX	31.8492	-102.3752
Oakwood	Triangle	TX	31.5856	-95.8478
Newark	Triangle	TX	33.002	-97.4832
New Braunfels	Triangle	TX	29.6989	-98.1209
Nacogdoches	Triangle	TX	31.6036	-94.6556
Montgomery	Triangle	TX	30.3886	-95.6963
Mission	Triangle	TX	26.2156	-98.3258
Midlothian	Triangle	TX	32.4844	-96.9937
Midland	Triangle	TX	32	-102.0745
Miami	Triangle	TX	35.6918	-100.6386
Mesquite	Triangle	TX	32.7834	-96.6021
Memphis	Triangle	TX	34.7242	-100.5343
McKinney	Triangle	TX	33.199	-96.615
Maud	Triangle	TX	33.3328	-94.3462
Marfa	Triangle	TX	30.3125	-104.0217
Mansfield	Triangle	TX	32.5651	-97.1419
Mabank	Triangle	TX	32.3654	-96.101
Lubbock	Triangle	TX	33.5845	-101.845
Longview	Triangle	TX	32.5006	-94.7406
Lometa	Triangle	TX	31.2167	-98.3934
Little Elm	Triangle	TX	33.1598	-96.9388
Lindale	Triangle	TX	32.5165	-95.4099
Lexington	Triangle	TX	30.4162	-97.01
Lewisville	Triangle	TX	33.0472	-96.9959
League City	Triangle	TX	29.5025	-95.0946
Laredo	Triangle	TX	27.5309	-99.5022
Lakeway	Triangle	TX	30.3627	-97.98
Lago Vista	Triangle	TX	30.4532	-97.9876
La Grange	Triangle	TX	29.9062	-96.8771
Krum	Triangle	TX	33.2614	-97.2378
Kingwood	Triangle	TX	30.0509	-95.1805
Killeen	Triangle	TX	31.1169	-97.7274
Kerrville	Triangle	TX	30.0516	-99.1453
Kermit	Triangle	TX	31.8478	-103.0852
Keene	Triangle	TX	32.3976	-97.331
Kaufman	Triangle	TX	32.5897	-96.3109
Katy	Triangle	TX	29.7877	-95.8233
Joshua	Triangle	TX	32.4629	-97.3885
Jacksboro	Triangle	TX	33.2182	-98.1591
Irving	Triangle	TX	32.8135	-96.9555
Iowa Park	Triangle	TX	33.95	-98.6557
Idalou	Triangle	TX	33.6667	-101.6827
Hutto	Triangle	TX	30.5436	-97.5429
Hurst	Triangle	TX	32.8411	-97.1862
Humble	Triangle	TX	30.0002	-95.2686
Huffman	Triangle	TX	30.025	-95.0844
Houston	Triangle	TX	29.7606	-95.3697
Horizon City	Triangle	TX	31.6827	-106.1866
Hooks	Triangle	TX	33.474	-94.2893
Henderson	Triangle	TX	32.1533	-94.7993
Helotes	Triangle	TX	29.5636	-98.6867
Haskell	Triangle	TX	33.1576	-99.7333
Harlingen	Triangle	TX	26.1899	-97.6956
Haltom City	Triangle	TX	32.8096	-97.2746
Hallettsville	Triangle	TX	29.4471	-96.9428
Greenville	Triangle	TX	33.1391	-96.1068
Grapevine	Triangle	TX	32.9395	-97.0784
Grand Prairie	Triangle	TX	32.7477	-97.0072
Granbury	Triangle	TX	32.4423	-97.7943
Glen Rose	Triangle	TX	32.2346	-97.7554
Gilmer	Triangle	TX	32.7297	-94.9448
Georgetown	Triangle	TX	30.6379	-97.677
Gatesville	Triangle	TX	31.4349	-97.7437
Garland	Triangle	TX	32.9143	-96.6365
Galveston	Triangle	TX	29.2953	-94.8079
Gainesville	Triangle	TX	33.6243	-97.143
Frisco	Triangle	TX	33.1506	-96.8335
Friendswood	Triangle	TX	29.53	-95.2002
Fort Worth	Triangle	TX	32.751	-97.3309
Fayetteville	Triangle	TX	29.9035	-96.6773
Fate	Triangle	TX	32.9415	-96.3808
Euless	Triangle	TX	32.8397	-97.0915
Elm Mott	Triangle	TX	31.6722	-97.094
Eldorado	Triangle	TX	30.8605	-100.6007
El Paso	Triangle	TX	31.7592	-106.4875
Duncanville	Triangle	TX	32.6462	-96.905
Denton	Triangle	TX	33.2166	-97.1316
Del Valle	Triangle	TX	30.2144	-97.6578
Del Rio	Triangle	TX	29.3662	-100.8982
DeKalb	Triangle	TX	33.5085	-94.6159
Dayton	Triangle	TX	30.0448	-94.8885
Dallas	Triangle	TX	32.7782	-96.7954
Cypress	Triangle	TX	29.9758	-95.6779
Cuero	Triangle	TX	29.0935	-97.2893
Cross Roads	Triangle	TX	33.2308	-97.003
Cotulla	Triangle	TX	28.4386	-99.2415
Corpus Christi	Triangle	TX	27.7964	-97.4037
Corinth	Triangle	TX	33.1533	-97.0543
Copperas Cove	Triangle	TX	31.1242	-97.9036
Coppell	Triangle	TX	32.9765	-96.9913
Converse	Triangle	TX	29.5153	-98.3121
Conroe	Triangle	TX	30.3122	-95.4559
Comfort	Triangle	TX	29.9703	-98.904
College Station	Triangle	TX	30.6205	-96.3259
Cleveland	Triangle	TX	30.343	-95.0896
Cleburne	Triangle	TX	32.3504	-97.3876
China Spring	Triangle	TX	31.653	-97.3059
Center	Triangle	TX	31.7962	-94.1797
Cedar Park	Triangle	TX	30.5066	-97.8219
Carthage	Triangle	TX	32.166	-94.3418
Carrollton	Triangle	TX	32.9756	-96.8902
Canyon Lake	Triangle	TX	29.875	-98.2631
Canadian	Triangle	TX	35.9146	-100.3844
Burleson	Triangle	TX	32.5631	-97.3217
Buda	Triangle	TX	30.0813	-97.8432
Bryan	Triangle	TX	30.671	-96.3704
Brownwood	Triangle	TX	31.7253	-98.9807
Brownsville	Triangle	TX	25.9021	-97.4992
Brownfield	Triangle	TX	33.18	-102.275
Blum	Triangle	TX	32.1422	-97.3976
Big Sandy	Triangle	TX	32.5842	-95.1085
Benbrook	Triangle	TX	32.6786	-97.4526
Ben Wheeler	Triangle	TX	32.447	-95.7058
Belton	Triangle	TX	31.0571	-97.4635
Bells	Triangle	TX	33.6124	-96.4102
Beaumont	Triangle	TX	30.0862	-94.1014
Baytown	Triangle	TX	29.7286	-94.9966
Bay City	Triangle	TX	28.983	-95.9694
Bandera	Triangle	TX	29.7258	-99.0692
Ballinger	Triangle	TX	31.7396	-99.9471
Azle	Triangle	TX	32.8835	-97.5371
Austin	Triangle	TX	30.2676	-97.743
Athens	Triangle	TX	32.2043	-95.8555
Arlington	Triangle	TX	32.7356	-97.1077
Archer City	Triangle	TX	33.5956	-98.6252
Aquilla	Triangle	TX	31.8512	-97.2192
Anna	Triangle	TX	33.3496	-96.5512
Amarillo	Triangle	TX	35.2073	-101.8339
Alvord	Triangle	TX	33.359	-97.6946
Alpine	Triangle	TX	30.3587	-103.6612
Allison	Triangle	TX	35.6084	-100.1006
Allen	Triangle	TX	33.1011	-96.6745
Alice	Triangle	TX	27.7508	-98.065
Addison	Triangle	TX	32.954	-96.8177
Abilene	Triangle	TX	32.4492	-99.7414
Waxahachie	Teardrop	TX	32.3861	-96.8484
Van Horn	Teardrop	TX	31.0415	-104.8308
San Marcos	Teardrop	TX	29.8861	-97.9282
San Antonio	Teardrop	TX	29.4246	-98.4946
Round Rock	Teardrop	TX	30.509	-97.6772
Rancho Viejo	Teardrop	TX	26.0448	-97.5499
Princeton	Teardrop	TX	33.1807	-96.4971
Portland	Teardrop	TX	27.8817	-97.3192
Pilot Point	Teardrop	TX	33.3967	-96.9598
Palestine	Teardrop	TX	31.7617	-95.632
North Richland Hills	Teardrop	TX	32.8385	-97.2266
New Braunfels	Teardrop	TX	29.6989	-98.1209
Mesquite	Teardrop	TX	32.7834	-96.6021
McAllen	Teardrop	TX	26.2074	-98.2294
Marshall	Teardrop	TX	32.5463	-94.3501
Lufkin	Teardrop	TX	31.3424	-94.7183
Lubbock	Teardrop	TX	33.5845	-101.845
Killeen	Teardrop	TX	31.1169	-97.7274
Hurst	Teardrop	TX	32.8411	-97.1862
Huffman	Teardrop	TX	30.025	-95.0844
Houston	Teardrop	TX	29.7606	-95.3697
Hockley	Teardrop	TX	30.0264	-95.846
Garland	Teardrop	TX	32.9143	-96.6365
Fredericksburg	Teardrop	TX	30.275	-98.8721
Fort Worth	Teardrop	TX	32.751	-97.3309
Farmers Branch	Teardrop	TX	32.9218	-96.8927
El Paso	Teardrop	TX	31.7592	-106.4875
Dallas	Teardrop	TX	32.7782	-96.7954
Conroe	Teardrop	TX	30.3122	-95.4559
Cibolo	Teardrop	TX	29.5585	-98.2251
Carrollton	Teardrop	TX	32.9756	-96.8902
Burnet	Teardrop	TX	30.7584	-98.2272
Azle	Teardrop	TX	32.8835	-97.5371
Austin	Teardrop	TX	30.2676	-97.743
Arlington	Teardrop	TX	32.7356	-97.1077
Amarillo	Teardrop	TX	35.2073	-101.8339
Alvarado	Teardrop	TX	32.4069	-97.2108
Allen	Teardrop	TX	33.1011	-96.6745
Addison	Teardrop	TX	32.954	-96.8177
Woodville	Sphere	TX	30.7753	-94.4143
Wolfe City	Sphere	TX	33.3702	-96.07
Wichita Falls	Sphere	TX	33.9083	-98.501
Weatherford	Sphere	TX	32.759	-97.801
Waxahachie	Sphere	TX	32.3861	-96.8484
Watauga	Sphere	TX	32.8746	-97.255
Waco	Sphere	TX	31.5718	-97.1495
Victoria	Sphere	TX	28.8059	-97.0036
Tyler	Sphere	TX	32.3476	-95.2943
Three Rivers	Sphere	TX	28.4696	-98.1795
Thornton	Sphere	TX	31.4113	-96.5733
The Woodlands	Sphere	TX	30.1575	-95.4558
The Colony	Sphere	TX	33.0979	-96.8925
Texas City	Sphere	TX	29.3928	-94.9251
Sweeny	Sphere	TX	29.0386	-95.6984
Sugar Land	Sphere	TX	29.633	-95.5995
Spring	Sphere	TX	30.0845	-95.4193
Splendora	Sphere	TX	30.2331	-95.1628
Somerset	Sphere	TX	29.226	-98.6578
Shamrock	Sphere	TX	35.216	-100.2492
Seguin	Sphere	TX	29.5695	-97.9647
San Antonio	Sphere	TX	29.4246	-98.4946
San Angelo	Sphere	TX	31.4615	-100.4424
Sachse	Sphere	TX	32.9742	-96.5985
Runge	Sphere	TX	28.8857	-97.7078
Round Rock	Sphere	TX	30.509	-97.6772
Round Mountain	Sphere	TX	30.4304	-98.345
Rotan	Sphere	TX	32.852	-100.4654
Robstown	Sphere	TX	27.7895	-97.6642
Riesel	Sphere	TX	31.4758	-96.9198
Richardson	Sphere	TX	32.9607	-96.733
Poteet	Sphere	TX	29.0409	-98.5691
Portland	Sphere	TX	27.8817	-97.3192
Plano	Sphere	TX	33.0208	-96.6992
Pipe Creek	Sphere	TX	29.7243	-98.9379
Pflugerville	Sphere	TX	30.4406	-97.6199
Pearland	Sphere	TX	29.5524	-95.2553
Pasadena	Sphere	TX	29.6908	-95.1957
Paris	Sphere	TX	33.6613	-95.5636
Old River-Winfree	Sphere	TX	29.868	-94.8414
North Richland Hills	Sphere	TX	32.8385	-97.2266
Nocona	Sphere	TX	33.7866	-97.7272
Natalia	Sphere	TX	29.1944	-98.8577
Nacogdoches	Sphere	TX	31.6036	-94.6556
Mount Pleasant	Sphere	TX	33.1571	-94.9685
Morton	Sphere	TX	33.7253	-102.7586
Montgomery	Sphere	TX	30.3886	-95.6963
Midland	Sphere	TX	32	-102.0745
Mesquite	Sphere	TX	32.7834	-96.6021
Memphis	Sphere	TX	34.7242	-100.5343
McKinney	Sphere	TX	33.199	-96.615
McGregor	Sphere	TX	31.4437	-97.4087
McAllen	Sphere	TX	26.2074	-98.2294
Marshall	Sphere	TX	32.5463	-94.3501
Magnolia	Sphere	TX	30.211	-95.7544
Lumberton	Sphere	TX	30.2674	-94.1999
Luling	Sphere	TX	29.6804	-97.6469
Lubbock	Sphere	TX	33.5845	-101.845
Los Fresnos	Sphere	TX	26.0717	-97.477
Livingston	Sphere	TX	30.7109	-94.9378
Lewisville	Sphere	TX	33.0472	-96.9959
Leander	Sphere	TX	30.5791	-97.853
League City	Sphere	TX	29.5025	-95.0946
Laredo	Sphere	TX	27.5309	-99.5022
Lakeway	Sphere	TX	30.3627	-97.98
Kingsland	Sphere	TX	30.6609	-98.4458
Killeen	Sphere	TX	31.1169	-97.7274
Kilgore	Sphere	TX	32.3803	-94.869
Keene	Sphere	TX	32.3976	-97.331
Kaufman	Sphere	TX	32.5897	-96.3109
Katy	Sphere	TX	29.7877	-95.8233
Houston	Sphere	TX	29.7606	-95.3697
Honey Grove	Sphere	TX	33.5829	-95.9096
Hockley	Sphere	TX	30.0264	-95.846
Helotes	Sphere	TX	29.5636	-98.6867
Haslet	Sphere	TX	32.9748	-97.3485
Harwood	Sphere	TX	29.6662	-97.5046
Grand Prairie	Sphere	TX	32.7477	-97.0072
Graham	Sphere	TX	33.1077	-98.5895
Graford	Sphere	TX	32.9386	-98.2477
Garland	Sphere	TX	32.9143	-96.6365
Galveston	Sphere	TX	29.2953	-94.8079
Friendswood	Sphere	TX	29.53	-95.2002
Fort Worth	Sphere	TX	32.751	-97.3309
Fort Hood	Sphere	TX	31.1227	-97.7984
Forestburg	Sphere	TX	33.5331	-97.559
Farmers Branch	Sphere	TX	32.9218	-96.8927
Ennis	Sphere	TX	32.3296	-96.6237
Encinal	Sphere	TX	28.0462	-99.3567
Emory	Sphere	TX	32.8748	-95.7652
El Paso	Sphere	TX	31.7592	-106.4875
Dublin	Sphere	TX	32.0851	-98.3419
Desoto	Sphere	TX	32.6056	-96.857
Denton	Sphere	TX	33.2166	-97.1316
Dayton	Sphere	TX	30.0448	-94.8885
